,name,type,category,price,datakey,url
2064,BÀI TẬP BỔ TRỢ I-LEARN SMART START Lớp 3 (Không nghe).rar,tieng-anh-3,tieng-anh,150000,10736,https://drive.google.com/drive/folders/1ecJJyEJ0egGKXujpsp9e9IR8bV_5Yebp?usp=sharing
2065,BÀI TẬP BỔ TRỢ I-LEARN SMART START Lớp 3.zip,tieng-anh-3,tieng-anh,199000,10735,https://drive.google.com/drive/u/0/folders/1SLG6d_G0w22pxMdnGTRKzskLngekrw-6
2066,Vở Luyện Viết i-LEARN SMART START Lớp 3.rar,tieng-anh-3,tieng-anh,50000,10734,https://drive.google.com/drive/folders/1sWdw83dNUbLpwhZRz37yBm0WgfCl2Lkx?usp=sharing
2067,"Bài giảng điện tử PowerPoint PPT Tiếng Anh 3 - HK1+HK2 (1,34Gb).rar",tieng-anh-3,tieng-anh,299000,10129,https://drive.google.com/drive/folders/1vcejPQiVQN8ldRFvMidbTYg7jUEn57sc?usp=sharing
2068,Bài Tập Bổ Trợ Tiếng Anh Global Success Lớp 3 - Có file nghe kèm Tapescript (Bộ 3).zip,tieng-anh-3,tieng-anh,199000,10128,https://drive.google.com/drive/folders/1d9er0vCpN-jDVDbB6_x1f3IxNC1JxWsi?usp=sharing
2069,Bài Tập Bổ Trợ Tiếng Anh Global Success Lớp 3 - Có file nghe (Bộ 2).zip,tieng-anh-3,tieng-anh,199000,10127,https://drive.google.com/drive/folders/1DFqsZd_Vb-Pio7HVJUu104WaOQmZBlta?usp=sharing
2070,Bài Tập Bổ Trợ Tiếng Anh Global Success Lớp 3 (Bộ 1).rar,tieng-anh-3,tieng-anh,150000,10126,https://drive.google.com/drive/folders/1EF-03MPAZB-745G2MWgb4H8o35H-AOno?usp=sharing
2071,TÀI LIỆU DẠY THÊM TIẾNG ANH 3 - Bản word có file nghe.rar,tieng-anh-3,tieng-anh,199000,10125,https://drive.google.com/drive/folders/152wKe2Akb7kauU76Hl9q806FpfVoli_p?usp=sharing
2072,Bộ Practice có FILE NGHE khối lớp 3 của BGD - Bản word.rar,tieng-anh-3,tieng-anh,99000,10123,https://drive.google.com/drive/folders/1k7yjAvms_NWW3bIZdt_agz8089_68iWf?usp=sharing
2073,TÀI LIỆU ĐỀ THI LUYỆN IOE LỚP 3 - File word.rar,tieng-anh-3,tieng-anh,199000,10122,https://drive.google.com/drive/folders/1-ZPrFk6LbTfvsl41Gl0ZOgHd5I3BmGpF?usp=sharing
2074,Listen Up Plus 3 - NEW TESTS.rar,tieng-anh-3,tieng-anh,99000,10121,https://drive.google.com/drive/folders/1a9hpPANtoDo-DL-Cj2K7SjJIIHQGUP3e?usp=sharing
2075,15 đề thi HK2 GRADE 3 (file word có nghe).rar,tieng-anh-3,tieng-anh,70000,10120,https://drive.google.com/drive/folders/13Lrlq_sk7rWOAJttmtIEyTteegbrasJQ?usp=sharing
2076,14 đề thi HK1 GRADE 3 (file word 4 đề có nghe).rar,tieng-anh-3,tieng-anh,50000,10119,https://drive.google.com/drive/folders/1VT2sNnVMIgeutuilm_lxLXtujXoNbFzH?usp=sharing
2077,Vở Luyện Viết Global Success Tiếng Anh Lớp 3.rar,tieng-anh-3,tieng-anh,50000,10118,https://drive.google.com/drive/folders/1eBzK3i58cEytStFTZ6HJDfagak6TuD3a?usp=sharing
2078,"BÀI GIẢNG POWER POINT CẢ NĂM - TIẾNG ANH 2 - GLOBAL SUCCESS (Theo lesson, chuẩn đẹp)",tieng-anh-2,tieng-anh,399000,12569,https://drive.google.com/drive/u/0/folders/1cVlcG0JsQJUbWCA5PQyJtcnYTZOMmHkK
2079,30 CHỦ ĐỀ THUYẾT TRÌNH TIỂU HỌC KÈM AUDIO.zip,tieng-anh-2,tieng-anh,99000,10661,https://drive.google.com/drive/folders/1q4wsB4ah6Mf5_Kb20y_p5Fz8WS7xKlUT?usp=sharing
